universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,municipio_id,municipio_nombre,provincia_id,provincia_nombre,latitud,longitud
Universidad del Cine,Universidad del Cine,Dr. Jose Modesto Giuffra 330,,"-34.617846,-58.3728309",,,,,,,,,,,,,,,,,,,,,,-34.617846,-58.3728309,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.617846,-58.3728309
Universidad del Congreso,Universidad del Congreso,Maipu 942,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipu 942&provincia=2,"-34.597041549129365,-58.37693167637579",,,,,,,,,,,,,,,,,,,,,,-34.597041549129400,-58.37693167637580,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.597041549129400,-58.37693167637580
Universidad del Este,Universidad del Este,Calle 2 684,,"-34.9072705,-57.9504423",,,,,,,,,,,,,,,,,,,,,,-34.9072705,-57.9504423,6441,La Plata,60441,La Plata,6,Buenos Aires,-34.9072705,-57.9504423
Universidad del Museo Social Argentino,Universidad del Museo Social Argentino,Av. Corrientes 1723,,"-34.6047031,-58.3922666",,,,,,,,,,,,,,,,,,,,,,-34.6047031,-58.3922666,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.6047031,-58.3922666
Universidad del Norte Santo Tomas de Aquino,Universidad del Norte Santo Tomas de Aquino,9 de Julio 165,http://apis.datos.gob.ar/georef/api/direcciones?direccion=9 de Julio 165,"-26.832849,-65.2075185",,,,,,,,,,,,,,,,,,,,,,-26.832849,-65.2075185,90084,Capital,900014,Municipalidad de San Miguel De Tucuman,90,Tucuman,-26.832849,-65.2075185
Universidad del Salvador,Universidad del Salvador,Av. Cordoba 1601,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cordoba 1601&provincia=2,"-34.5994421892955,-58.3896679387133",,,,,,,,,,,,,,,,,,,,,,-34.5994421892955,-58.3896679387133,2014,Comuna 2,,,2,Ciudad Autonoma de Buenos Aires,-34.5994421892955,-58.3896679387133
Universidad Empresarial Siglo 21,Universidad Empresarial Siglo 21,De los Latinos 8555,http://apis.datos.gob.ar/georef/api/direcciones?direccion=De los Latinos 8555,"-31.3279965,-64.2286782",,,,,,,,,,,,,,,,,,,,,,-31.3279965,-64.2286782,14014,Capital,140077,Cordoba,14,Cordoba,-31.3279965,-64.2286782
Universidad Favaloro,Universidad Favaloro,Av. Entre Rios 495,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Entre Rios 495&provincia=2,"-34.614872720152945, -58.39167679293044",,,,,,,,,,,,,,,,,,,,,,-34.614872720152900,-58.39167679293040,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.614872720152900,-58.39167679293040
Universidad Gaston Dachary,Universidad Gaston Dachary,"Salta 1912, posadas","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Salta 1912, posadas","-27.3706143,-55.9352656",,,,,,,,,,,,,,,,,,,,,,-27.3706143,-55.9352656,54028,Capital,540119,Posadas,54,Misiones,-27.3706143,-55.9352656
Universidad ISALUD,Universidad ISALUD,Venezuela 847,,"-34.6139929,-58.3804476",,,,,,,,,,,,,,,,,,,,,,-34.6139929,-58.3804476,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6139929,-58.3804476
Universidad Juan Agustin Maza,Universidad Juan Agustin Maza,Lateral Sur del Acceso Este 2245,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lateral Sur del Acceso Este 2245,"-32.95403678084001,-68.83214028295434",,,,,,,,,,,,,,,,,,,,,,-32.95403678084000,-68.83214028295430,50021,Godoy Cruz,500021,Godoy Cruz,50,Mendoza,-32.95403678084000,-68.83214028295430
Universidad Maimonides,Universidad Maimonides,Hidalgo 775,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Hidalgo 775&provincia=2,"-34.61053895477871,-58.44103541301811",,,,,,,,,,,,,,,,,,,,,,-34.61053895477870,-58.44103541301810,2042,Comuna 6,,,2,Ciudad Autonoma de Buenos Aires,-34.61053895477870,-58.44103541301810
Universidad Metropolitana para la Educacion y el Trabajo,Universidad Metropolitana para la Educacion y el Trabajo,Sarmiento 2037,,"-34.6058,-58.3979779",,,,,,,,,,,,,,,,,,,,,,-34.6058,-58.3979779,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.6058,-58.3979779
Universidad Nacional Arturo Jauretche,Universidad Nacional Arturo Jauretche,Calchaqui 6200,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Calchaqui 6200&provincia=6,"-34.7751429,-58.2701046",,,,,,,,,,,,,,,,,,,,,,-34.7751429,-58.2701046,6274,Florencio Varela,60274,Florencio Varela,6,Buenos Aires,-34.7751429,-58.2701046
Universidad Nacional de Avellaneda,Universidad Nacional de Avellaneda,12 de Octubre 463,http://apis.datos.gob.ar/georef/api/direcciones?direccion=12 de Octubre 463&provincia=6,"-34.72925803087015,-58.263119285544974",,,,,,,,,,,,,,,,,,,,,,-34.72925803087020,-58.263119285545000,6658,Quilmes,60658,Quilmes,6,Buenos Aires,-34.72925803087020,-58.263119285545000
