carrera,carrera_grupo,Carrera_normalizada
Licenciatura en Gestión e Historia de las Artes - Ciclo de Licenciatura,Sociales,Administracion y Gestion Cultural
Licenciatura en Gestión Educativa - Ciclo de Licenciatura - MD,Sociales,Gestion Educativa
Licenciatura en Gestión Educativa - MD,Sociales,Gestion Educativa
Licenciatura en Gestión Universitaria,Sociales,Gestion Educativa
Licenciatura en Gestión y Desarrollo Cultural,Sociales,Administracion y Gestion Cultural
Magister de la Universidad de Buenos Aires en Administración Cultural,Sociales,Administracion y Gestion Cultural
Magister de la Universidad de Buenos Aires en Administración de Organizaciones del Sector Cultural y Creativo con Orientación en A,Sociales,Administracion y Gestion Cultural
Magister de la Universidad de Buenos Aires en Administración de Organizaciones del Sector Cultural y Creativo con Orientación en P,Sociales,Administracion y Gestion Cultural
Magister de la Universidad de Buenos Aires en Administración de Organizaciones en el Sector Cultural y Creativo,Sociales,Administracion y Gestion Cultural
Magister de la Universidad de Buenos Aires en Gestión Cultural,Sociales,Administracion y Gestion Cultural
Magister en Industrias Culturales: Politicas y Gestión,Sociales,Administracion y Gestion Cultural
Magister en Valoracion del Patrimonio Natural y Cultural,Sociales,Administracion y Gestion Cultural
